Block	Column	Row	Name
1	1	1	0
1	2	1	0
1	3	1	0
1	4	1	0
1	5	1	0
1	6	1	0
1	7	1	0
1	8	1	0
1	9	1	0
1	10	1	0
1	11	1	0
1	12	1	0
1	1	2	carbsynthe_1390
1	2	2	carbSynthe_1415
1	3	2	carbsynthe_1390
1	4	2	carbSynthe_1415
1	5	2	0
1	6	2	0
1	7	2	0
1	8	2	0
1	9	2	0
1	10	2	0
1	11	2	0
1	12	2	0
1	1	3	carbsynthe_1247
1	2	3	carbsynthe_1275
1	3	3	carbsynthe_1247
1	4	3	carbsynthe_1275
1	5	3	carbsynthe_1318
1	6	3	carbsynthe_1413
1	7	3	carbsynthe_1318
1	8	3	carbsynthe_1413
1	9	3	carbsynthe_1360
1	10	3	carbsynthe_1372
1	11	3	carbsynthe_1360
1	12	3	carbsynthe_1372
1	1	4	carbsynthe_1390
1	2	4	carbSynthe_1415
1	3	4	carbsynthe_1390
1	4	4	carbSynthe_1415
1	5	4	0
1	6	4	0
1	7	4	0
1	8	4	0
1	9	4	0
1	10	4	0
1	11	4	0
1	12	4	0
1	1	5	carbsynthe_1247
1	2	5	carbsynthe_1275
1	3	5	carbsynthe_1247
1	4	5	carbsynthe_1275
1	5	5	carbsynthe_1318
1	6	5	carbsynthe_1413
1	7	5	carbsynthe_1318
1	8	5	carbsynthe_1413
1	9	5	carbsynthe_1360
1	10	5	carbsynthe_1372
1	11	5	carbsynthe_1360
1	12	5	carbsynthe_1372
1	1	6	carbsynthe_1390
1	2	6	carbSynthe_1415
1	3	6	carbsynthe_1390
1	4	6	carbSynthe_1415
1	5	6	0
1	6	6	0
1	7	6	0
1	8	6	0
1	9	6	0
1	10	6	0
1	11	6	0
1	12	6	0
1	1	7	carbsynthe_1247
1	2	7	carbsynthe_1275
1	3	7	carbsynthe_1247
1	4	7	carbsynthe_1275
1	5	7	carbsynthe_1318
1	6	7	carbsynthe_1413
1	7	7	carbsynthe_1318
1	8	7	carbsynthe_1413
1	9	7	carbsynthe_1360
1	10	7	carbsynthe_1372
1	11	7	carbsynthe_1360
1	12	7	carbsynthe_1372
1	1	8	carbSynthe_0916
1	2	8	carbSynthe_0737
1	3	8	carbSynthe_0916
1	4	8	carbSynthe_0737
1	5	8	carbSynthe_947
1	6	8	carbSynthe_992
1	7	8	carbSynthe_947
1	8	8	carbSynthe_992
1	9	8	carbSynthe_1076
1	10	8	carbSynthe_1096
1	11	8	carbSynthe_1076
1	12	8	carbSynthe_1096
1	1	9	carbSynthe_0659
1	2	9	carbSynthe_0615
1	3	9	carbSynthe_0659
1	4	9	carbSynthe_0615
1	5	9	carbSynthe_0629
1	6	9	carbSynthe_959
1	7	9	carbSynthe_0629
1	8	9	carbSynthe_959
1	9	9	carbSynthe_0856
1	10	9	carbSynthe_0861
1	11	9	carbSynthe_0856
1	12	9	carbSynthe_0861
1	1	10	carbSynthe_0916
1	2	10	carbSynthe_0737
1	3	10	carbSynthe_0916
1	4	10	carbSynthe_0737
1	5	10	carbSynthe_947
1	6	10	carbSynthe_992
1	7	10	carbSynthe_947
1	8	10	carbSynthe_992
1	9	10	carbSynthe_1076
1	10	10	carbSynthe_1096
1	11	10	carbSynthe_1076
1	12	10	carbSynthe_1096
1	1	11	carbSynthe_0659
1	2	11	carbSynthe_0615
1	3	11	carbSynthe_0659
1	4	11	carbSynthe_0615
1	5	11	carbSynthe_0629
1	6	11	carbSynthe_959
1	7	11	carbSynthe_0629
1	8	11	carbSynthe_959
1	9	11	carbSynthe_0856
1	10	11	carbSynthe_0861
1	11	11	carbSynthe_0856
1	12	11	carbSynthe_0861
1	1	12	carbSynthe_0916
1	2	12	carbSynthe_0737
1	3	12	carbSynthe_0916
1	4	12	carbSynthe_0737
1	5	12	carbSynthe_947
1	6	12	carbSynthe_992
1	7	12	carbSynthe_947
1	8	12	carbSynthe_992
1	9	12	carbSynthe_1076
1	10	12	carbSynthe_1096
1	11	12	carbSynthe_1076
1	12	12	carbSynthe_1096
1	1	13	carbSynthe_0659
1	2	13	carbSynthe_0615
1	3	13	carbSynthe_0659
1	4	13	carbSynthe_0615
1	5	13	carbSynthe_0629
1	6	13	carbSynthe_959
1	7	13	carbSynthe_0629
1	8	13	carbSynthe_959
1	9	13	carbSynthe_0856
1	10	13	carbSynthe_0861
1	11	13	carbSynthe_0856
1	12	13	carbSynthe_0861
1	1	14	0
1	2	14	0
1	3	14	0
1	4	14	0
1	5	14	0
1	6	14	0
1	7	14	0
1	8	14	0
1	9	14	0
1	10	14	0
1	11	14	0
1	12	14	0
2	1	1	0
2	2	1	0
2	3	1	0
2	4	1	0
2	5	1	0
2	6	1	0
2	7	1	0
2	8	1	0
2	9	1	0
2	10	1	0
2	11	1	0
2	12	1	0
2	1	2	carbsynthe_1392
2	2	2	carbSynthe_1416
2	3	2	carbsynthe_1392
2	4	2	carbSynthe_1416
2	5	2	0
2	6	2	0
2	7	2	0
2	8	2	0
2	9	2	0
2	10	2	0
2	11	2	0
2	12	2	0
2	1	3	carbsynthe_1248
2	2	3	carbsynthe_1271
2	3	3	carbsynthe_1248
2	4	3	carbsynthe_1271
2	5	3	carbsynthe_1319
2	6	3	carbsynthe_1337
2	7	3	carbsynthe_1319
2	8	3	carbsynthe_1337
2	9	3	carbsynthe_1361
2	10	3	carbsynthe_1373
2	11	3	carbsynthe_1361
2	12	3	carbsynthe_1373
2	1	4	carbsynthe_1392
2	2	4	carbSynthe_1416
2	3	4	carbsynthe_1392
2	4	4	carbSynthe_1416
2	5	4	0
2	6	4	0
2	7	4	0
2	8	4	0
2	9	4	0
2	10	4	0
2	11	4	0
2	12	4	0
2	1	5	carbsynthe_1248
2	2	5	carbsynthe_1271
2	3	5	carbsynthe_1248
2	4	5	carbsynthe_1271
2	5	5	carbsynthe_1319
2	6	5	carbsynthe_1337
2	7	5	carbsynthe_1319
2	8	5	carbsynthe_1337
2	9	5	carbsynthe_1361
2	10	5	carbsynthe_1373
2	11	5	carbsynthe_1361
2	12	5	carbsynthe_1373
2	1	6	carbsynthe_1392
2	2	6	carbSynthe_1416
2	3	6	carbsynthe_1392
2	4	6	carbSynthe_1416
2	5	6	0
2	6	6	0
2	7	6	0
2	8	6	0
2	9	6	0
2	10	6	0
2	11	6	0
2	12	6	0
2	1	7	carbsynthe_1248
2	2	7	carbsynthe_1271
2	3	7	carbsynthe_1248
2	4	7	carbsynthe_1271
2	5	7	carbsynthe_1319
2	6	7	carbsynthe_1337
2	7	7	carbsynthe_1319
2	8	7	carbsynthe_1337
2	9	7	carbsynthe_1361
2	10	7	carbsynthe_1373
2	11	7	carbsynthe_1361
2	12	7	carbsynthe_1373
2	1	8	carbSynthe_0597
2	2	8	carbSynthe_0738
2	3	8	carbSynthe_0597
2	4	8	carbSynthe_0738
2	5	8	carbSynthe_949
2	6	8	carbSynthe_993
2	7	8	carbSynthe_949
2	8	8	carbSynthe_993
2	9	8	carbSynthe_1077
2	10	8	carbSynthe_1027
2	11	8	carbSynthe_1077
2	12	8	carbSynthe_1027
2	1	9	carbSynthe_0660
2	2	9	carbSynthe_0613
2	3	9	carbSynthe_0660
2	4	9	carbSynthe_0613
2	5	9	carbSynthe_0630
2	6	9	carbSynthe_0641
2	7	9	carbSynthe_0630
2	8	9	carbSynthe_0641
2	9	9	carbSynthe_0683
2	10	9	carbSynthe_0867
2	11	9	carbSynthe_0683
2	12	9	carbSynthe_0867
2	1	10	carbSynthe_0597
2	2	10	carbSynthe_0738
2	3	10	carbSynthe_0597
2	4	10	carbSynthe_0738
2	5	10	carbSynthe_949
2	6	10	carbSynthe_993
2	7	10	carbSynthe_949
2	8	10	carbSynthe_993
2	9	10	carbSynthe_1077
2	10	10	carbSynthe_1027
2	11	10	carbSynthe_1077
2	12	10	carbSynthe_1027
2	1	11	carbSynthe_0660
2	2	11	carbSynthe_0613
2	3	11	carbSynthe_0660
2	4	11	carbSynthe_0613
2	5	11	carbSynthe_0630
2	6	11	carbSynthe_0641
2	7	11	carbSynthe_0630
2	8	11	carbSynthe_0641
2	9	11	carbSynthe_0683
2	10	11	carbSynthe_0867
2	11	11	carbSynthe_0683
2	12	11	carbSynthe_0867
2	1	12	carbSynthe_0597
2	2	12	carbSynthe_0738
2	3	12	carbSynthe_0597
2	4	12	carbSynthe_0738
2	5	12	carbSynthe_949
